层次	专业大类	专业类	专业名称及代码	官方链接	预期字节数	本地相对路径
高职专科	生物与化工大类	生物技术类	470107 生物信息技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_swyhgdl/zbzzdl_swjsl/202502/P020250207522870843571.pdf	349762	高职专科/生物与化工大类/生物技术类/470107_生物信息技术.pdf
高职专科	装备制造大类	自动化类	460301 机电一体化技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207525314104497.pdf	343418	高职专科/装备制造大类/自动化类/460301_机电一体化技术.pdf
高职专科	装备制造大类	自动化类	460302 智能机电技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207525125369656.pdf	353480	高职专科/装备制造大类/自动化类/460302_智能机电技术.pdf
高职专科	装备制造大类	自动化类	460303 智能控制技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207524950667082.pdf	361773	高职专科/装备制造大类/自动化类/460303_智能控制技术.pdf
高职专科	装备制造大类	自动化类	460304 智能机器人技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207524709773761.pdf	347599	高职专科/装备制造大类/自动化类/460304_智能机器人技术.pdf
高职专科	装备制造大类	自动化类	460305 工业机器人技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207524455884017.pdf	347501	高职专科/装备制造大类/自动化类/460305_工业机器人技术.pdf
高职专科	装备制造大类	自动化类	460306 电气自动化技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207524248703966.pdf	338430	高职专科/装备制造大类/自动化类/460306_电气自动化技术.pdf
高职专科	装备制造大类	自动化类	460307 工业过程自动化技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207524099196484.pdf	355072	高职专科/装备制造大类/自动化类/460307_工业过程自动化技术.pdf
高职专科	装备制造大类	自动化类	460308 工业自动化仪表技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207523895093236.pdf	340310	高职专科/装备制造大类/自动化类/460308_工业自动化仪表技术.pdf
高职专科	装备制造大类	自动化类	460309 液压与气动技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207523647690638.pdf	338502	高职专科/装备制造大类/自动化类/460309_液压与气动技术.pdf
