层次	专业名称及代码	预期字节数	实际字节数	PDF文件头	状态	本地相对路径
高职专科	570107K 小学科学教育	350870	350870	%PDF-	OK	高职专科/教育与体育大类/教育类/570107K_小学科学教育.pdf
高职专科	570108K 音乐教育	347336	347336	%PDF-	OK	高职专科/教育与体育大类/教育类/570108K_音乐教育.pdf
高职专科	570109K 美术教育	346279	346279	%PDF-	OK	高职专科/教育与体育大类/教育类/570109K_美术教育.pdf
高职专科	570110K 体育教育	349827	349827	%PDF-	OK	高职专科/教育与体育大类/教育类/570110K_体育教育.pdf
高职专科	570111K 小学道德与法治教育	336215	336215	%PDF-	OK	高职专科/教育与体育大类/教育类/570111K_小学道德与法治教育.pdf
高职专科	570112K 舞蹈教育	333800	333800	%PDF-	OK	高职专科/教育与体育大类/教育类/570112K_舞蹈教育.pdf
高职专科	570113K 艺术教育	342407	342407	%PDF-	OK	高职专科/教育与体育大类/教育类/570113K_艺术教育.pdf
高职专科	570114K 特殊教育	336839	336839	%PDF-	OK	高职专科/教育与体育大类/教育类/570114K_特殊教育.pdf
高职专科	570115K 现代教育技术	347943	347943	%PDF-	OK	高职专科/教育与体育大类/教育类/570115K_现代教育技术.pdf
高职专科	570301 社会体育	345298	345298	%PDF-	OK	高职专科/教育与体育大类/体育类/570301_社会体育.pdf
高职专科	570302 休闲体育	356817	356817	%PDF-	OK	高职专科/教育与体育大类/体育类/570302_休闲体育.pdf
高职专科	570303 运动训练	356630	356630	%PDF-	OK	高职专科/教育与体育大类/体育类/570303_运动训练.pdf
高职专科	570304 民族传统体育	338433	338433	%PDF-	OK	高职专科/教育与体育大类/体育类/570304_民族传统体育.pdf
高职专科	570307 健身指导与管理	345314	345314	%PDF-	OK	高职专科/教育与体育大类/体育类/570307_健身指导与管理.pdf
高职专科	570308 运动健康指导	345555	345555	%PDF-	OK	高职专科/教育与体育大类/体育类/570308_运动健康指导.pdf
高职专科	570309 运动数据分析	334670	334670	%PDF-	OK	高职专科/教育与体育大类/体育类/570309_运动数据分析.pdf
高职专科	570310 体能训练	335675	335675	%PDF-	OK	高职专科/教育与体育大类/体育类/570310_体能训练.pdf
高职专科	570311 体育运营与管理	333707	333707	%PDF-	OK	高职专科/教育与体育大类/体育类/570311_体育运营与管理.pdf
